word,meaning,partOfSpeech,example,leapPart,leapNumber,tags
create,①～を創造する ②～を引き起こす,他動詞,,Part1,44,
establish,①～を確立する，定着させる ②～を設立する,他動詞,,Part1,45,
save,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,他動詞,,Part1,46,
medicine,①（for ～）（～の）薬 ②医学,名詞,,Part1,47,
patient,①患者 ②忍耐強い,名詞,,Part1,48,
condition,①状態，容態 ②（通例 －s）（周囲の）状況，条件,名詞,,Part1,49,
medical,①医療の ②医学の,形容詞,,Part1,50,
stress,①ストレス ②（on ～）（～に対する）強調 ③～を強調する,名詞,,Part1,51,
suffer,①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,自動詞,,Part1,52,
exercise,①運動 ②（－s）練習 ③運動する ④～を行使する,名詞,,Part1,53,
breathe,呼吸する，息をする,自動詞,,Part1,54,
thirsty,①のどが渇いた ②（for ～）（～を）切望して,形容詞,,Part1,55,
physical,①身体的な ②物理的な,形容詞,,Part1,56,
fever,①（体温の）熱 ②熱狂,名詞,,Part1,57,
strength,①（physical －）体力 ②力,名詞,,Part1,58,
tear,①（通例 －s）涙〈可算〉 ②（up）～を引き裂く,名詞,,Part1,59,
taste,①～の味がする ②～の味をみる ③味 ④好み,自動詞,,Part1,60,
rule,①規則 ②～を支配する,名詞,,Part1,61,
role,役割,名詞,,Part1,62,
habit,習慣，癖,名詞,,Part1,63,
custom,①習慣 ②（－s）税関,名詞,,Part1,64,
tradition,伝統,名詞,,Part1,65,
society,①社会〈不可算〉 ②（ある具体的な）社会〈可算〉 ③（one's －）～と同席すること ④協会,名詞,,Part1,66,
law,①（the－）（集合的に）法律，国法 ②（個々の）法律 ③（科学などの）法則,名詞,,Part1,67,
ancestor,祖先,名詞,,Part1,68,
population,①人口，個体数 ②（一定の地域に住む）住民,名詞,,Part1,69,
native,①母国の，その土地の ②（ある土地の）生まれの人,形容詞,,Part1,70,
abroad,海外へ，海外で,副詞,,Part1,71,
local,①その土地の，地元の ②地方の ③ 地元の人,形容詞,,Part1,72,
survey,①調査〈可算〉 ②～を調査する,名詞,,Part1,73,
evidence,証拠〈不可算〉,名詞,,Part1,74,
value,①価値 ②（－s）価値観 ③お買い得品〈不可算〉 ④～を重んじる,名詞,,Part1,75,
treasure,①財宝，宝 ②大事な物［人］ ③（思い出など）を大事にする,名詞,,Part1,76,
fashion,①流行 ②流儀，やり方 ③（手などで）～を作る,名詞,,Part1,77,
public,①（the －）大衆 ②公の，公共の,名詞,,Part1,78,
vote,①投票（数） ②投票する,名詞,,Part1,79,
government,政府,名詞,,Part1,80,
nation,①国家 ②（the －） 国民,名詞,,Part1,81,
capital,①首都 ②資本 ③重大な，死に値する,名詞,,Part1,82,
state,①州 ②状態 ③国家 ④（意見，情報）を述べる,名詞,,Part1,83,
political,政治的な，政治の,形容詞,,Part1,84,
price,①価格 ②（－s）物価 ③代償,名詞,,Part1,85,
cost,①（費用）を要する，～がかかる ②～を犠牲にする ③費用，犠牲,他動詞,,Part1,86,
sum,①（修飾語を伴って）金額 ②合計 ③（簡単な）計算 ④（up）～を要約する,名詞,,Part1,87,
budget,予算,名詞,,Part1,88,
fee,①（会費，遊園地などの）料金 ②（専門職への）謝礼,名詞,,Part1,89,
fare,運賃,名詞,,Part1,90,
bill,①勘定 ②請求書 ③〈米〉紙幣 ④法案,名詞,,Part1,91,
trade,①貿易 ②（the ～ trade）～業 ③商売 ④～を交換する,名詞,,Part1,92,
wealth,①富，財産〈不可算〉 ②（a － of ～）豊富な～,名詞,,Part1,93,
economy,①経済 ②節約,名詞,,Part1,94,
company,①会社 ②（one's －）一緒にいること ③仲間 ④来客,名詞,,Part1,95,
task,仕事〈可算〉,名詞,,Part1,96,
earn,①（金）を稼ぐ，もうける ②（評判など）を得る,他動詞,,Part1,97,
hurt,①（身体の部位が）痛む ②（身体，感情）を傷つける,自動詞,,Part1,98,
injure,①～を痛める ②～をけがさせる,他動詞,,Part1,99,
damage,①～に損害を与える ②損害，被害〈不可算〉 ③（－s）賠償金,他動詞,,Part1,100,
destroy,①～を（完全に）破壊する ②～を殺す，全滅させる,他動詞,,Part1,101,
ruin,①～を台無しにする ②～を破滅させる ③（－s）廃墟，荒廃,他動詞,,Part1,102,
danger,危険,名詞,,Part1,103,
neighbor,①近所の人 ②（a next-door －）隣の人,名詞,,Part1,104,
audience,聴衆，観客,名詞,,Part1,105,
crowd,群衆,名詞,,Part1,106,
author,①著者 ②作家,名詞,,Part1,107,
staff,（集合的に）職員，従業員,名詞,,Part1,108,
clerk,①〈米〉店員 ②事務員，社員,名詞,,Part1,109,
customer,客,名詞,,Part1,110,
passenger,乗客,名詞,,Part1,111,
elderly,①年配の ②（the －）年配の人々,形容詞,,Part1,112,
female,①女性の ②（動物）雌の ③女性，雌,形容詞,,Part1,113,
head,①向かう ②～を率いる,自動詞,,Part1,114,
follow,①～の後について行く，～に続く ②（忠告，方針など）に従う,他動詞,,Part1,115,
wander,歩き回る，さまよう,自動詞,,Part1,116,
travel,①旅行する，移動する ②（光，音などが）進む,自動詞,,Part1,117,
pass,①～を通り過ぎる ②～を抜く ③（試験）に受かる ④（（人）A）（人）に（A を）渡す ⑤（時が）過ぎる ⑥通行証,他動詞,,Part1,118,
likely,①（to do）～しそうだ，可能性が高い ②おそらく,形容詞,,Part1,119,
natural,①当然の ②自然の ③生まれながらの,形容詞,,Part1,120,
certain,①確かな ②（名詞の前で）ある～,形容詞,,Part1,121,
probably,おそらく,副詞,,Part1,122,
face,①～に直面する ②〈方向〉～向きである ③顔，体面,他動詞,,Part1,123,
avoid,～を避ける,他動詞,,Part1,124,
solve,～を解決する,他動詞,,Part1,125,
trouble,①問題，ごたごた（通例〈不可算〉） ② ～を困らせる,名詞,,Part1,126,
issue,①問題 ②（雑誌の）号 ③（切手など）を発行する,名詞,,Part1,127,
cheer,①（on）～に声援を送る ②（up）～を励ます,他動詞,,Part1,128,
encourage,①（A to do）（A）に（～するよう）促す，奨励する ②～を励ます,他動詞,,Part1,129,
support,①～を支持する ②（家族など）を養う ③（理論など）を立証する ④支持，支援,他動詞,,Part1,130,
prevent,①～を妨げる ②～を予防する,他動詞,,Part1,131,
deny,①～を否定する ②〈S V O1 O2〉（O1）に（O2を）与えない,他動詞,,Part1,132,
enable,（A to do）（A）に［が］（～することを）可能にする,他動詞,,Part1,133,
succeed,①（in ～）（～に）成功する ②（to ～）（家業などを）継ぐ,自動詞,,Part1,134,
miss,①～を逃す ②～を休む ③～を恋しく思う,他動詞,,Part1,135,
fail,①（in［at］～）（～に）失敗する ②（to do）～できない ③（試験）に落ちる ④（人）に役に立たない,自動詞,,Part1,136,
mistake,①間違い ②（A for B）（A）を（B と）間違える,名詞,,Part1,137,
check,①～を調べる ②～を阻止する ③小切手 ④勘定書 ⑤検査，点検 ⑥抑制,他動詞,,Part1,138,
hide,①～を隠す ②隠れる,他動詞,,Part1,139,
draw,①（線で絵など）を描く ②（注意）を引く ③ ～を引っ張る，集める,他動詞,,Part1,140,
join,①（クラブ，団体など）に加わる ②～をつなぐ ③（食事などを）～とともにする ④（議論，活動などに）参加する,他動詞,,Part1,141,
throw,①～を投げる ②（away［out］）～を捨てる ③（パーティなど）を催す ④投げること,他動詞,,Part1,142,
operate,①（機械など）を操作する ②手術する ③（機械などが）作動する，（組織が）運営される,他動詞,,Part1,143,
repair,①～を修理する ② ～を修復する ③ 修理，修復,他動詞,,Part1,144,
sew,①～を縫う ②（on）（ボタンなど）を縫いつける,他動詞,,Part1,145,
raise,① ～を上げる ②（子ども，作物）を育てる ③（お金，資金）を集める ④（問題）を提起する ⑤賃上げ，昇給,他動詞,,Part1,146,
serve,①（飲食物）を出す ②～に役立つ ③ 役立つ,他動詞,,Part1,147,
pour,①～を注ぐ ②降りそそぐ,他動詞,,Part1,148,
spill,①～をこぼす ②（石油などの）流出,他動詞,,Part1,149,
pretend,（to do / that S V）（～する/ ～である）ふりをする,自動詞,,Part1,150,
behave,ふるまう,自動詞,,Part1,151,
bear,①（can －）～に耐える ②～を持つ ③～を産む,他動詞,,Part1,152,
explore,①～を探検する，（街など）を探索する ②（問題など）を探る,他動詞,,Part1,153,
happen,①（to ～）（～に）起こる ②（to do）偶然～する,自動詞,,Part1,154,
appear,①現れる ②（to be ～）～のように思える,自動詞,,Part1,155,
remain,①～のままでいる ②残る,自動詞,,Part1,156,
survive,①生き残る ②～から生き延びる，～の後も存続する,自動詞,,Part1,157,
belong,（to ～）①（～に）所属している ②（～の）所有物である,自動詞,,Part1,158,
represent,①～を代表する ②（記号などが）を表す ③～を表現する,他動詞,,Part1,159,
base,①～の基礎を置く ②基礎（の部分），基盤 ③基地,他動詞,,Part1,160,
include,～を含む,他動詞,,Part1,161,
contain,①～を含む ②～を抑える,他動詞,,Part1,162,
own,（所有格の後で）①自分自身の ②（名詞的に）自分自身のもの ③～を所有している,形容詞,,Part1,163,
share,①～を共有する ②（考えなど）を（人に）伝える ③共有 ④分け前,他動詞,,Part1,164,
collect,①（同種の物）を集める ②～を徴収する，回収する,他動詞,,Part1,165,
gather,①～を集める ②集まる,他動詞,,Part1,166,
history,①歴史 ②履歴，前歴，病歴,名詞,,Part1,167,
subject,①科目 ②話題 ③被験者 ④（be － to ～）～を受けやすい,名詞,,Part1,168,
education,教育,名詞,,Part1,169,
knowledge,知識，知っていること,名詞,,Part1,170,
uniform,①制服 ②同一の，一定の,名詞,,Part1,171,
grade,①（小，中，高の）学年 ②等級 ③成績,名詞,,Part1,172,
senior,①（高校，大学の）最上級生 ②高齢者の ③（地位が）上位の,名詞,,Part1,173,
graduate,（from ～）（～を）卒業する,自動詞,,Part1,174,
decide,①（to do）（～すること）を決定する，決心する ②（on ～）（～を）決める,他動詞,,Part1,175,
judge,①～を判断する ②裁判官，審判（員）,他動詞,,Part1,176,
quit,～を（完全に）やめる,他動詞,,Part1,177,
retire,（from ～）（～を）引退する，退職する,自動詞,,Part1,178,
review,①再検討 ②（新聞などの）批評 ③復習,名詞,,Part1,179,
choose,①～を選ぶ ②選ぶ,他動詞,,Part1,180,
imagine,～を想像する,他動詞,,Part1,181,
guess,①～を推測する ②推測,他動詞,,Part1,182,
expect,①～を予期する ②（A of［from］ B）（B にA）を期待する ③（be －ing）（～を）身ごもっている,他動詞,,Part1,183,
predict,～を予測する,他動詞,,Part1,184,
remember,①（doing）（過去にしたこと）を覚えている ②（to do）（～すること）を覚えている ③（me to ～）（～に）よろしく伝える,他動詞,,Part1,185,
remind,①（A of B）（A）に（B のことを）思い出させる ②（（人）to do）（人）に～するように念を押す,他動詞,,Part1,186,
realize,①～を（はっきり）理解する ②（夢，計画など）を実現する,他動詞,,Part1,187,
appreciate,①～を（正しく）理解する ②～のよさがわかる ③～に感謝する,他動詞,,Part1,188,
accept,～を受け入れる,他動詞,,Part1,189,
consider,①～をよく考える，考慮する ②（人の気持ち）を思いやる ③（A （to be） B） （A）を（B と）みなす,他動詞,,Part1,190,
mind,①気にする ②精神，頭脳 ③（才能，知性のある）人,自動詞,,Part1,191,
wonder,①（wh－節 / if S V）～かなと思う ②（at ～）（～に）驚く,他動詞,,Part1,192,
seem,～のように思われる,自動詞,,Part1,193,
compare,"①（A with［to, and］ B）（A）を（B と）比較する ②（A to B）（A）を（B に）例える ③（with［to］～）（～に）匹敵する",他動詞,,Part1,194,
concentrate,①（on ～）（～に）集中する ②（A on B）（A）を（B に）集中させる,自動詞,,Part1,195,
focus,①（on ～）（～に）焦点を当てる，力を注ぐ ②焦点,自動詞,,Part1,196,
allow,①（人が）～を許可する ②（物が）～を可能にする,他動詞,,Part1,197,
admit,①～を認める ②～の入場［入学］を許可する,他動詞,,Part1,198,
ground,①地面 ②根拠,名詞,,Part1,199,
pollution,汚染，公害〈不可算〉,名詞,,Part1,200,
sight,①光景 ②視力,名詞,,Part1,201,
view,①眺め，景色〈可算〉 ②見解，見方〈不可算〉 ③（A as B）（A）を（B と）みなす,名詞,,Part1,202,
landscape,①風景 ②（the －）（政治，社会の）情勢,名詞,,Part1,203,
nature,①（無冠詞）自然 ②（しばしばthe － of ～） （～の）性質,名詞,,Part1,204,
seed,①種 ②シード選手,名詞,,Part1,205,
plant,①植物 ②（大規模な）工場 ③～を植える,名詞,,Part1,206,
bloom,①（花が）咲く ②開花,自動詞,,Part1,207,
harvest,①収穫 ②～を収穫する ③（臓器，体液など）を摘出する,名詞,,Part1,208,
insect,昆虫,名詞,,Part1,209,
earthquake,地震,名詞,,Part1,210,
temperature,①温度，気温 ②体温,名詞,,Part1,211,
degree,①（温度などの）度 ②程度 ③ 学位,名詞,,Part1,212,
flood,①洪水 ②～を水浸しにする,名詞,,Part1,213,
freeze,①凍る，凍りつく ②～を凍らせる,自動詞,,Part1,214,
reflect,①～を反射する ②～を反映する ③（on ～）（～を）熟考する,他動詞,,Part1,215,
polite,（人，言動が）礼儀正しい,形容詞,,Part1,216,
rude,無礼な，不作法な,形容詞,,Part1,217,
lonely,孤独な,形容詞,,Part1,218,
lazy,①（やる気がなく）怠惰な，いい加減な ②（名詞の前で）くつろいだ,形容詞,,Part1,219,
strict,厳しい,形容詞,,Part1,220,
ugly,醜い,形容詞,,Part1,221,
intelligent,知的な，賢い,形容詞,,Part1,222,
silly,ばかな,形容詞,,Part1,223,
nervous,①あがって，落ち着かない ②神経質な，臆病な ③（身体の）神経の,形容詞,,Part1,224,
awake,目を覚まして,形容詞,,Part1,225,
attitude,態度，姿勢,名詞,,Part1,226,
character,①性格，特徴 ②登場人物 ③文字,名詞,,Part1,227,
characteristic,①特徴〈可算〉 ②特有の，特徴的な,名詞,,Part1,228,
feature,①特徴 ②特集記事 ③～を特集する,名詞,,Part1,229,
detail,①詳細 ②（建物などの）細部,名詞,,Part1,230,
advantage,（over ～）（～に対する）利点,名詞,,Part1,231,
fault,①（ちょっとした）欠点，不具合〈可算〉 ②（one's －）責任〈不可算〉 ③断層,名詞,,Part1,232,
quality,①質〈不可算〉 ②（通例－s）（人間の）資質,名詞,,Part1,233,
correct,①正確な，正しい ②～を訂正する，矯正する,形容詞,,Part1,234,
ideal,①理想的な，申し分のない ②理想，理想的な姿,形容詞,,Part1,235,
fair,①公正な，公平な ②品評会，見本市,形容詞,,Part1,236,
appropriate,適切な,形容詞,,Part1,237,
famous,①（for one's ～）（～で）有名な ②（as ～）（～として）有名な,形容詞,,Part1,238,
elementary,初歩的な，基本の,形容詞,,Part1,239,
major,①主要な ②（in ～）（～を）専攻する,形容詞,,Part1,240,
matter,①重要である ②（修飾語を伴い）物質 ③（－s）事態，状況,自動詞,,Part1,241,
bright,①明るい ②（主に子どもや若者が）賢い,形容詞,,Part1,242,
brilliant,①輝いている ②すばらしい,形容詞,,Part1,243,
lively,生き生きとした,形容詞,,Part1,244,
comfortable,①（物が）快適な ②（人が）心地よい,形容詞,,Part1,245,
pleasant,（人にとって）楽しい，心地よい,形容詞,,Part1,246,
convenient,①都合がよい ②近くて便利がよい,形容詞,,Part1,247,
FALSE,①誤った ②偽の,形容詞,,Part1,248,
terrible,①ひどい ②苦手で,形容詞,,Part1,249,
awful,ひどい，不快な,形容詞,,Part1,250,
thin,①薄い ②（病的に）やせた ③（毛が）薄い,形容詞,,Part1,251,
tight,①引き締まった，きつい ②厳しい,形容詞,,Part1,252,
loose,①ゆるい ②解き放たれた,形容詞,,Part1,253,
raw,生の，加工されていない,形容詞,,Part1,254,
empty,①空の，中身のない ②～を空にする,形容詞,,Part1,255,
smooth,①滑らかな ②順調な ③（服のしわ）をのばす，（髪）をなでつける,形容詞,,Part1,256,
direct,①直接的な ②～を指揮［監督，演出］する ③（注意など）を向ける ④～に道を教える,形容詞,,Part1,257,
familiar,①知られた ②（人が）（よく）知っている,形容詞,,Part1,258,
similar,（to ～）（～に）似た,形容詞,,Part1,259,
differ,異なる,自動詞,,Part1,260,
vary,さまざまだ，変わる,自動詞,,Part1,261,
specific,①特定の ②明確な，具体的な,形容詞,,Part1,262,
common,①普及した，普通の ②（主に名詞の前で）共通の,形容詞,,Part1,263,
unusual,珍しい,形容詞,,Part1,264,
add,①～を加える ②（to ～）（～を）増やす,他動詞,,Part1,265,
increase,①増える ②～を増やす ③（in ～）（～の）増加,自動詞,,Part1,266,
reduce,①～を減らす ②（A to B） A をB にする,他動詞,,Part1,267,
divide,①～を分割する ②（by ～）（～によって）（数字）を割る,他動詞,,Part1,268,
count,①～を数える ②数える ③重要である ④（on ～）（～を）（全面的に）当てにする,他動詞,,Part1,269,
weigh,①～の重さがある ②～の重さを量る ③～を（比較）検討する,自動詞,,Part1,270,
quarter,①4 分の1 ，15分，25セント ②（都市のある特定な）地域,名詞,,Part1,271,
lot,①（a － of ～）多くの～ ②（副詞的に）（a －）とても ③（one's）（～の）状況，運命 ④（何らかの目的を持つ）土地,名詞,,Part1,272,
pile,①積み重ね，山 ②多量 ③～を積み重ねる,名詞,,Part1,273,
rate,①割合，速さ ②（ホテルなどの一定の）料金 ③～を評価する,名詞,,Part1,274,
figure,①数字 ②人物 ③スタイル，体つき ④図 ⑤目立つ,名詞,,Part1,275,
lack,①（（a）－ of ～）（～の）不足 ②～を欠いている,名詞,,Part1,276,
extra,①余分な，追加の，臨時の ②余分な［追加された］もの,形容詞,,Part1,277,
ready,①用意ができている ②（be ～ to do）進んで～する,形容詞,,Part1,278,
prepare,①～の準備をする，用意をする ②準備をする，用意をする ③（be －d to do）（～する）準備ができている,他動詞,,Part1,279,
adjust,①（to ～）（～に）慣れる ②～を調整する,自動詞,,Part1,280,
apply,①（to ～）（～に）当てはまる ②（for ～）（～に）申し込む ③～を当てはめる，応用する ④（薬，口紅など）を塗る,自動詞,,Part1,281,
suit,①（人）に適している，好都合だ ②（服装，色が人）に似合う ③訴訟（＝lawsuit） ④ スーツ,他動詞,,Part1,282,
case,①場合 ②（the －）事実 ③（犯罪）事件 ④症例 ⑤（make a －）主張（する）,名詞,,Part1,283,
scene,①（劇，小説などの）場面 ②（事故）現場 ③（the ～ scene）～（業）界,名詞,,Part1,284,
chance,①（to do）（～する）機会 ②（of ～ / that S V）（～の/ ～する）可能性,名詞,,Part1,285,
opportunity,（よい）機会，好機,名詞,,Part1,286,
experience,①経験 ②（個々の）体験 ③～を経験する,名詞,,Part1,287,
time,①（漠然とした）時間 ②（ある長さの）時間 ③回数 ④倍 ⑤（－s）情勢，時代 ⑥（接続詞的に（the） next －）次に～するとき,名詞,,Part1,288,
spring,①春 ②泉，温泉 ③飛び出る，突然出現する,名詞,,Part1,289,
minute,①（時間の）分 ②（a －）ちょっとの間 ③（－s）議事録 ④とても小さい，細かい ⑤（the －）～するとすぐに,名詞,,Part1,290,
period,①時代 ②期間 ③（学校の）時限,名詞,,Part1,291,
generation,①世代 ②生み出すこと ③発電,名詞,,Part1,292,
anniversary,記念日,名詞,,Part1,293,
recently,最近，近ごろ,副詞,,Part1,294,
used,①（to ～）以前は～だった，よく～したものだ ②（be － to doing）（～することに）慣れている ③中古の,助動詞,,Part1,295,
early,①（時間，時期が）早く，初期に ②（予定より）早く ③早い，初期の,副詞,,Part1,296,
first,①第1 の ②（for the － time）初めて ③ 初めて ④（文頭で）まず第1 に（＝firstly） ⑤（at －）最初のうちは,形容詞,,Part1,297,
latest,（the －）最新の,形容詞,,Part1,298,
modern,①現代の ②近代的な,形容詞,,Part1,299,
latter,①後半の ②（the －）後者,形容詞,,Part1,300,
spend,①（時間）を費やす ②（お金）を使う,他動詞,,Part1,301,
delay,①～を遅らせる ②遅延，延期,他動詞,,Part1,302,
borrow,～を借りる,他動詞,,Part1,303,
lend,①（無償で）～を貸す ②（銀行が利子をつけて）を貸す,他動詞,,Part1,304,
rent,①～を借りる ②（A to B）（A）を（B に）賃貸しする ③家賃，賃貸料，使用料,他動詞,,Part1,305,
provide,～を供給する，与える,他動詞,,Part1,306,
shelf,棚（の一段）,名詞,,Part1,307,
board,①（細長い）板 ②（幹部などによる）委員会 ③～に乗る,名詞,,Part1,308,
garbage,ごみ,名詞,,Part1,309,
item,①品物 ②項目 ③（短い）記事,名詞,,Part1,310,
wheel,①車輪 ②（the －）ハンドル ③（車輪のついたもの）を動かす,名詞,,Part1,311,
note,①メモ ②〈英〉紙幣 ③（that S V）（～ということ）を指摘する ④ ～に注意を払う,名詞,,Part1,312,
present,①プレゼント ②現在 ③現在の ④ 出席して，存在して ⑤～を贈る，提示する,名詞,,Part1,313,
stuff,①（漠然とした）もの ②～を詰める,名詞,,Part1,314,
string,①ひも ②（a － of ～）一連の～ ③（ギターなどの）弦,名詞,,Part1,315,
leisure,①余暇 ②（形容詞的に）余暇の,名詞,,Part1,316,
diet,①食事 ②規定食 ③（D－） （日本の）国会,名詞,,Part1,317,
furniture,家具〈不可算〉,名詞,,Part1,318,
refrigerator,冷蔵庫,名詞,,Part1,319,
traffic,交通（量）〈不可算〉,名詞,,Part1,320,
jam,①渋滞 ②ジャム,名詞,,Part1,321,
sell,①～を売る ②売れる,他動詞,,Part1,322,
pay,①（A for B） （B の代金としてA）を支払う ②（for A） （A の代金を）支払う ③（仕事などが）割に合う ④給料,他動詞,,Part1,323,
wear,①～を身につけている ②～をすり減らす ③すり減る,他動詞,,Part1,324,
clothes,服〈複数扱い〉,名詞,,Part1,325,
marry,～と結婚する,他動詞,,Part1,326,
greet,～に挨拶する，出迎える,他動詞,,Part1,327,
order,①～を注文する ②（医者や上官などが）～に命令する ③ 注文 ④命令 ⑤順序 ⑥秩序,他動詞,,Part1,328,
room,①部屋 ②余地，空間〈不可算〉,名詞,,Part1,329,
story,階,名詞,,Part1,330,
site,①用地 ②現場，場所 ③（史跡などの）跡,名詞,,Part1,331,
yard,①（主に〈米〉）庭 ②ヤード（＝約0.9 m）,名詞,,Part1,332,
bottom,①底 ②一番下，最下位 ③ 尻,名詞,,Part1,333,
line,①列 ②行，線 ③電話回線 ④セリフ ⑤（up）並ぶ,名詞,,Part1,334,
row,①列 ②（ボート）をこぐ,名詞,,Part1,335,
background,①背景 ②経歴，生い立ち,名詞,,Part1,336,
direction,①方向，方角 ②（－s）道順 ③指示,名詞,,Part1,337,
art,①芸術 ②技術 ③（liberal －s）一般教養,名詞,,Part1,338,
culture,①文化 ②培養，養殖 ③教養 ④～を耕す，栽培［養殖］する,名詞,,Part1,339,
cartoon,漫画,名詞,,Part1,340,
novel,①小説 ②斬新な,名詞,,Part1,341,
instrument,①楽器 ②器具,名詞,,Part1,342,
tune,①曲 ②（番組）にチャンネルを合わせる ③～の調子を合わせる,名詞,,Part1,343,
sentence,①（ 1 つ1 つの）文 ②判決 ③（A to B）（A）を（B）の刑にする,名詞,,Part1,344,
article,①記事 ②品物 ③冠詞 ④条項,名詞,,Part1,345,
passage,①（文章などの）一節 ②（時の）経過，移動 ③通路,名詞,,Part1,346,
vocabulary,語彙,名詞,,Part1,347,
rumor,うわさ,名詞,,Part1,348,
spell,①～をつづる ②呪文 ③（天気などのある一続きの）期間,他動詞,,Part1,349,
pronounce,①（単語など）を発音する ②（判決など）を宣告する，～と断言する,他動詞,,Part1,350,
sign,①兆候，印 ②標識，看板，掲示 ③ ～を署名する,名詞,,Part1,351,
mean,①～を意味する ②（to do）～するつもりだ ③意地悪な,他動詞,,Part1,352,
publish,①～を出版する ②（公式に結果など）を発表する,他動詞,,Part1,353,
display,①～を展示する ②（実力など）を発揮する ③～を誇示する ④展示，表現，誇示,他動詞,,Part1,354,
trust,①～を信頼する ②信頼，信用,他動詞,,Part1,355,
depend,①（物，事が主語）（on ～）（～）次第である ②（人が主語）（on ～）（～に）頼っている,自動詞,,Part1,356,
rely,（on ～）（～に）頼る,自動詞,,Part1,357,
pray,祈る,自動詞,,Part1,358,
beg,①～を嘆願する ②求める,他動詞,,Part1,359,
prefer,（A to B） （B よりA）を好む,他動詞,,Part1,360,
weep,しくしく泣く,自動詞,,Part1,361,
hate,～を嫌う,他動詞,,Part1,362,
worry,①心配をする ②心配（事）,自動詞,,Part1,363,
anxious,①（about ～）（～を）心配して ②（to do / for ～）（～を）切望して,形容詞,,Part1,364,
satisfy,①～を満足させる ②（必要性，空腹など）を満たす,他動詞,,Part1,365,
annoy,～をいらだたせる,他動詞,,Part1,366,
bother,①～に面倒をかける ②（to do）わざわざ～する ③面倒なもの,他動詞,,Part1,367,
disturb,①（うるさくして）～に迷惑をかける ②（平和など）を乱す,他動詞,,Part1,368,
frighten,～をおびえさせる,他動詞,,Part1,369,
upset,①～を動揺させる ②（均衡など）を乱す ③動揺して，腹を立てて,他動詞,,Part1,370,
regret,①～を後悔する ②（to do）残念ながら～しないといけない ③後悔,他動詞,,Part1,371,
favor,①親切な行為 ②支持,名詞,,Part1,372,
interest,①関心 ②（－s）利益 ③（銀行などの）利子,名詞,,Part1,373,
